year;model;point;lo80;hi80;lo95;hi95
2024;ARIMA;70590;62640;78540;58431;82749
2025;ARIMA;72924;61681;84168;55729;90119
2026;ARIMA;75259;61488;89029;54199;96318
2027;ARIMA;77593;61692;93493;53275;101911
2028;ARIMA;79927;62150;97705;52739;107115
2029;ARIMA;82262;62788;101736;52479;112045
2030;ARIMA;84596;63562;105630;52427;116765
2031;ARIMA;86930;64444;109417;52540;121321
2032;ARIMA;89265;65414;113115;52788;125741
2033;ARIMA;91599;66458;116740;53149;130049
2024;ETS;69612;60833;78392;56185;83040
2025;ETS;70970;58554;83386;51981;89959
2026;ETS;72328;57121;87535;49070;95585
2027;ETS;73685;56125;91246;46829;100542
2028;ETS;75043;55409;94677;45015;105071
2029;ETS;76401;54892;97910;43506;109296
2030;ETS;77758;54525;100992;42226;113291
2031;ETS;79116;54277;103955;41128;117104
2032;ETS;80474;54127;106821;40180;120768
2033;ETS;81831;54058;109605;39356;124307
2024;Prophet;56122;47497;65573;NA;NA
2025;Prophet;57528;48623;67194;NA;NA
2026;Prophet;60278;51302;68565;NA;NA
2027;Prophet;61939;52528;70194;NA;NA
2028;Prophet;62510;53590;70773;NA;NA
2029;Prophet;63917;55358;71890;NA;NA
2030;Prophet;66666;57670;76326;NA;NA
2031;Prophet;68327;59495;77569;NA;NA
2032;Prophet;68899;60464;77374;NA;NA
2033;Prophet;70305;61578;79590;NA;NA
